#{"t_start": 1781077190.701003, "env_id": "None"}
r,l,t
147.416667,50,63.965284
129.116667,50,64.002521
51.866667,50,64.059026
131.583333,50,65.048817
88.783333,50,65.080232
135.333333,50,65.109247
113.5,50,65.140753
123.5,50,65.171317
135.033333,50,65.202302
171.833333,50,65.229299
146.4,50,65.257886
68.733333,50,65.289896
144.116667,50,65.333411
135.25,50,66.077078
144.583333,50,66.127866
121.25,50,66.171223
105.833333,50,66.214532
62.366667,50,66.265649
144.833333,50,66.308182
107.166667,50,66.350941
167.666667,50,66.395286
125.083333,50,66.495856
42.2,50,66.578411
114.833333,50,67.498896
150.5,50,67.884337
-15.0,6,67.898889
135.833333,50,68.053446
52.166667,50,68.156205
55.783333,50,68.268739
149.0,50,68.369453
117.166667,50,68.47718
109.033333,50,68.836769
164.916667,50,69.178202
87.5,50,69.519786
157.5,50,71.663107
144.583333,50,71.733759
99.033333,50,71.801376
130.666667,50,71.862155
133.583333,50,71.913669
117.833333,50,72.014083
115.0,50,72.121571
125.866667,50,72.20438
127.083333,50,72.333484
92.783333,50,72.399454
175.833333,50,72.88495
100.4,50,72.927119
148.666667,50,72.968226
162.333333,50,73.023193
141.833333,50,73.068065
59.833333,50,73.100908
116.25,50,73.130583
144.5,50,73.163574
155.916667,50,73.198968
157.666667,50,73.235862
124.916667,50,73.262958
169.5,50,73.664854
143.25,50,73.689854
128.166667,50,73.720117
148.15,50,73.755294
58.533333,50,73.803024
152.75,50,73.837111
126.833333,50,73.861109
176.0,50,73.886151
168.5,50,73.912866
136.866667,50,73.936381
149.083333,50,74.242024
76.583333,50,74.277056
136.916667,50,74.311302
152.583333,50,74.345278
147.083333,50,74.377283
126.5,50,74.409151
116.666667,50,74.452351
123.916667,50,74.495659
131.0,50,74.530716
146.616667,50,74.567615
127.75,50,74.901742
151.033333,50,74.935927
155.783333,50,74.966556
167.583333,50,75.024381
118.833333,50,75.058001
131.583333,50,75.099979
162.0,50,75.132145
170.583333,50,75.171008
177.75,50,75.219869
146.916667,50,75.253201
139.083333,50,75.589202
188.75,50,75.613265
147.666667,50,75.637025
170.583333,50,75.661019
182.333333,50,75.688038
160.666667,50,75.714556
159.5,50,75.752062
131.75,50,75.778063
163.416667,50,75.805243
165.0,50,75.830499
148.25,50,75.853574
140.5,50,76.09309
169.033333,50,76.124607
120.783333,50,76.149113
121.083333,50,76.177131
85.333333,50,76.206331
180.583333,50,76.237576
120.083333,50,76.280602
164.283333,50,76.34418
164.083333,50,76.375505
44.916667,50,76.408679
141.25,50,76.995994
142.783333,50,77.066322
129.833333,50,77.108735
126.783333,50,77.147998
163.0,50,77.185078
170.083333,50,77.226712
173.5,50,77.266313
148.166667,50,77.31093
135.45,50,77.362977
156.783333,50,77.399973
133.0,50,77.842251
156.333333,50,77.877544
148.916667,50,77.91204
116.0,50,77.969579
161.833333,50,78.019762
152.416667,50,78.056916
134.166667,50,78.093282
163.583333,50,78.131798
184.833333,50,78.171371
158.833333,50,78.206255
85.0,50,78.720296
161.416667,50,78.773257
139.166667,50,78.811869
140.0,50,78.852621
178.75,50,78.896634
150.666667,50,78.937315
125.95,50,78.978321
119.0,50,79.016207
164.366667,50,79.052204
160.5,50,79.095203
152.416667,50,79.142291
70.916667,50,79.468513
147.583333,50,79.515751
163.75,50,79.544026
168.916667,50,79.569023
120.0,50,79.599332
136.666667,50,79.630472
163.5,50,79.655472
134.083333,50,79.680471
152.666667,50,79.704478
159.75,50,79.728923
117.583333,50,80.046747
187.666667,50,80.08375
129.916667,50,80.110756
163.333333,50,80.138894
144.166667,50,80.166895
153.666667,50,80.194412
154.833333,50,80.222579
154.116667,50,80.246183
164.416667,50,80.270182
158.75,50,80.295184
172.916667,50,80.548077
173.666667,50,80.577101
153.833333,50,80.602688
114.583333,50,80.628291
189.25,50,80.654291
106.416667,50,80.684293
124.583333,50,80.7113
151.5,50,80.738456
149.666667,50,80.763454
166.75,50,80.789509
120.916667,50,81.016083
138.916667,50,81.039572
165.916667,50,81.061573
108.833333,50,81.087573
133.95,50,81.112579
142.333333,50,81.140747
171.25,50,81.169747
162.416667,50,81.199265
122.833333,50,81.222985
144.083333,50,81.244992
136.166667,50,81.267881
158.666667,50,81.556447
165.0,50,81.582452
156.333333,50,81.6116
106.25,50,81.642688
186.416667,50,81.672686
155.083333,50,81.706693
136.083333,50,81.735924
167.666667,50,81.761924
136.916667,50,81.787929
173.833333,50,81.818834
126.833333,50,82.070823
128.833333,50,82.09883
158.916667,50,82.134224
192.5,50,82.163259
132.083333,50,82.190242
135.416667,50,82.216374
192.416667,50,82.245508
140.25,50,82.273596
125.5,50,82.299511
198.666667,50,82.331024
149.416667,50,82.579327
58.583333,50,82.605411
159.416667,50,82.627935
151.583333,50,82.657498
73.2,50,82.687499
158.25,50,82.716502
69.75,50,82.744635
132.666667,50,82.769638
149.166667,50,82.79266
160.616667,50,82.814825
156.666667,50,83.056574
145.166667,50,83.08457
127.75,50,83.110571
149.366667,50,83.13675
160.083333,50,83.163748
133.5,50,83.187655
173.333333,50,83.211879
111.666667,50,83.236585
196.333333,50,83.260676
93.7,50,83.283587
130.5,50,83.308589
156.5,50,83.559681
137.083333,50,83.585655
147.5,50,83.60989
147.75,50,83.637324
143.333333,50,83.667312
99.666667,50,83.696311
147.75,50,83.72603
173.666667,50,83.749818
162.916667,50,83.772821
166.166667,50,83.794832
168.333333,50,84.066635
153.666667,50,84.095635
137.833333,50,84.125146
186.25,50,84.15578
188.333333,50,84.18664
138.5,50,84.215411
153.783333,50,84.244489
126.75,50,84.268492
164.083333,50,84.291492
169.0,50,84.31853
169.75,50,84.647749
171.0,50,84.677747
184.25,50,84.704763
174.166667,50,84.733265
114.583333,50,84.766081
159.666667,50,84.795086
161.916667,50,84.83183
173.75,50,84.867831
187.75,50,84.906365
175.25,50,84.941647
154.916667,50,85.288156
157.666667,50,85.315161
132.166667,50,85.342288
172.333333,50,85.369287
133.75,50,85.396708
140.75,50,85.420233
145.416667,50,85.45984
167.0,50,85.489855
128.083333,50,85.513846
176.0,50,85.545072
168.116667,50,85.826304
193.533333,50,85.854512
164.583333,50,85.87951
107.616667,50,85.910511
165.583333,50,85.93604
159.25,50,85.966805
189.583333,50,86.000812
188.25,50,86.026845
137.916667,50,86.056471
151.75,50,86.088454
180.25,50,86.113454
168.25,50,86.620169
141.166667,50,86.654382
171.783333,50,86.689385
135.166667,50,86.726389
116.033333,50,86.759584
105.583333,50,86.800592
130.666667,50,86.838571
206.083333,50,86.960716
172.75,50,87.034494
164.083333,50,87.085959
132.833333,50,87.499803
185.666667,50,87.553984
148.0,50,87.622826
