#{"t_start": 1781077617.2064164, "env_id": "None"}
r,l,t
-3.7,50,69.157107
-17.1,50,69.179645
-12.0,50,69.20929
-12.3,50,69.237909
4.5,50,69.259004
3.1,50,69.294149
3.3,50,69.642464
-2.1,50,69.671224
3.5,50,69.703787
-4.6,50,69.733447
-3.4,50,69.77012
-13.4,50,69.799947
-3.6,50,69.830112
7.0,50,69.85763
-1.6,50,69.880257
-3.6,50,69.920754
2.6,50,70.444753
-2.9,50,70.487163
-13.4,50,70.530295
-5.4,50,70.573603
3.0,50,70.609452
-9.1,50,70.635642
-11.8,50,70.67037
-8.2,50,70.725738
-3.0,50,70.781484
-8.8,50,70.913444
9.7,50,71.618919
-12.9,50,71.652514
-13.4,50,71.678205
-12.6,50,71.710883
-8.4,50,71.741937
-1.4,50,71.777073
-9.1,50,71.819686
-12.3,50,71.863569
10.2,50,71.889284
-1.8,50,71.92838
-15.2,50,72.418811
-12.8,50,72.456269
-9.6,50,72.498907
-2.6,50,72.537251
4.3,50,72.575754
13.2,50,72.61426
1.7,50,72.636312
-9.5,50,72.665799
5.4,50,72.695905
-0.2,50,72.717984
-3.7,50,73.03728
1.3,50,73.069352
0.7,50,73.095898
7.4,50,73.129973
3.4,50,73.16619
-13.8,50,73.199769
4.2,50,73.232385
-2.7,50,73.254513
-8.8,50,73.28335
-12.6,50,73.305224
-12.3,50,73.333862
4.1,50,73.77887
-12.3,50,73.809994
-9.4,50,73.837025
-24.6,50,73.86991
-3.1,50,73.898972
-12.6,50,73.927712
-6.0,50,73.966281
-12.3,50,74.004977
5.0,50,74.040506
-8.5,50,74.069242
-22.8,50,74.384442
-8.0,50,74.418505
-11.4,50,74.451058
4.6,50,74.487196
-12.6,50,74.514754
-0.2,50,74.547291
-12.3,50,74.580066
-16.7,50,74.610563
-4.8,50,74.631654
6.7,50,74.665132
-14.1,50,75.072736
6.6,50,75.112324
4.5,50,75.152588
-12.0,50,75.17722
-4.1,50,75.210289
1.8,50,75.246127
-22.7,50,75.277761
-9.1,50,75.300331
-13.8,50,75.32944
-9.1,50,75.357604
-11.1,50,75.69049
0.7,50,75.719102
-2.2,50,75.754851
-8.6,50,75.785575
-0.7,50,75.82067
-9.1,50,75.854264
-14.1,50,75.881375
-12.6,50,75.912344
-0.5,50,75.949403
-13.2,50,75.981339
-3.8,50,76.003454
-1.0,50,76.297158
2.3,50,76.330793
-0.7,50,76.363963
-12.3,50,76.398153
-12.3,50,76.425546
-3.5,50,76.457093
-15.0,50,76.488762
-12.0,50,76.510795
-1.5,50,76.545681
-12.0,50,76.573494
-5.2,50,76.900046
-4.5,50,76.930104
2.1,50,76.98515
-12.3,50,77.011433
-9.7,50,77.043077
0.9,50,77.077261
-8.3,50,77.105347
-12.3,50,77.127218
-12.3,50,77.157109
2.2,50,77.179845
-1.5,50,77.550055
4.9,50,77.582162
-3.2,50,77.61274
-8.8,50,77.637942
-13.8,50,77.675147
14.2,50,77.709707
-1.8,50,77.743173
-5.0,50,77.772653
5.1,50,77.796248
-14.4,50,77.83037
8.7,50,78.255167
-5.0,50,78.286222
0.1,50,78.313782
-12.1,50,78.339852
-23.7,50,78.371298
7.8,50,78.407178
-24.0,50,78.442002
-17.8,50,78.466085
4.6,50,78.495686
-5.1,50,78.524304
-2.2,50,78.62543
-8.5,50,78.951947
-0.4,50,78.992056
-12.1,50,79.036139
2.7,50,79.073209
-7.1,50,79.112283
-12.6,50,79.151438
8.7,50,79.188373
-12.0,50,79.21542
-8.4,50,79.245016
5.6,50,79.272649
3.9,50,79.58549
7.1,50,79.617213
-12.3,50,79.647876
-12.9,50,79.672918
-3.1,50,79.707405
12.3,50,79.74453
1.4,50,79.776022
-1.4,50,79.814472
-8.0,50,79.846015
-8.0,50,79.877084
-5.0,50,80.401608
-12.0,50,80.427328
-9.4,50,80.466941
7.3,50,80.5
-0.9,50,80.533581
-3.0,50,80.568275
-1.3,50,80.591927
-1.0,50,80.627972
-3.5,50,80.659247
2.0,50,80.692349
-1.5,50,81.288223
-1.6,50,81.322933
13.6,50,81.35425
6.8,50,81.385029
-0.2,50,81.417287
-9.7,50,81.571381
-3.5,50,81.613884
-4.9,50,81.649367
-8.5,50,81.672433
2.6,50,81.704159
-6.7,50,81.734489
-12.3,50,82.210162
6.7,50,82.244634
8.2,50,82.298748
-3.3,50,82.360174
-4.7,50,82.397515
2.3,50,82.42413
-3.5,50,82.467985
